138.5	1.8	2
336.0	4.5	3
350.3	4.7	5
195.8	2.6	8
170.4	2.3	2
272.2	3.6	8
329.1	4.4	9
249.2	3.3	6
113.8	1.5	3
307.0	4.1	7
386.6	5.1	7
87.6	1.2	2
228.5	3.1	4
71.2	1.0	2
86.9	1.1	3
286.4	3.8	5
400.6	5.4	6
291.6	3.9	7
393.6	5.3	9
448.6	6.0	7
372.7	5.0	3
153.5	2.1	4
189.4	2.5	6
167.1	2.2	4
298.2	4.0	4
221.6	3.0	2
363.0	4.8	9
123.6	1.6	7
390.0	5.2	8
202.8	2.7	6
105.2	1.4	7
255.4	3.4	8
237.2	3.2	7
101.3	1.3	6
316.3	4.2	4
326.1	4.3	8
276.1	3.7	5
364.2	4.9	6
416.1	5.6	4
410.0	5.5	8
424.7	5.7	7
340.8	4.6	9
212.8	2.9	6
153.9	2.0	3
261.9	3.5	7
442.9	5.9	4
182.7	2.4	5
213.9	2.8	5
140.0	1.9	5
430.4	5.8	8
123.5	1.7	4
